notation,domain,matrix,name,description,tag,tag,tag,tags,tags,,,,,
,Hydrological,Liquid phase,toluene-d8 ,,Chemical,Organic,hydrocarbon,,,,,,,
,Hydrological,Liquid phase,C7H8 (toluene),"IUPAC: toluene, PubChem CID: 1140, CAS Number:108-88-3",Chemical,Organic,hydrocarbon,,,,,,,
,Hydrological,Liquid phase,transition metal ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,pseudocumene ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,hydrogen-3 ,,Chemical,radioactive,,,,,,,,
,Hydrological,Liquid phase,xylene ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,ethyl-ether-soluble substances ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,Methylene Blue active substances (MBAS),,Chemical,,,,,,,,,
,Hydrological,Liquid phase,"C6H5OH (phenol, carbolic acid, Phenic acid)","IUPAC: phenol, PubChem CID: 996, CAS Number: 108-95-2",Chemical,Organic,,,,,,,,
,Hydrological,Liquid phase,phenolic compounds,"Heterogeneous group of phytochemicals comprising phenol rings bearing one or more hydroxyl groups including flavonoids, phenolic acids, tannins, stilbenes, anthocyanins, xanthines and lignans.",Chemical,Organic,,,,,,,,
,Hydrological,Liquid phase,C10H8 (naphtalene),"IUPAC: naphtalene, PubChem CID: 931, CAS Number: 91-20-3",Chemical,organic,hydrocarbon,,,,,,,
,Hydrological,Liquid phase,C12H21N2O3PS (diazinon),"IUPAC: diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-λ5-phosphane, PubChem CID: 3017, CAS Number: 333-41-5",Chemical,organochlorine,Pesticide,,,,,,,
,Hydrological,Liquid phase,C5H12NO3PS2 (dimethoate),"IUPAC: 2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide, PubChem CID: 3082, CAS Number: 60-51-5",Chemical,,Pesticide,,,,,,,
,Hydrological,Liquid phase,C7H17O2PS3 (phorate),"IUPAC: diethoxy-(ethylsulfanylmethylsulfanyl)-sulfanylidene-lambda5-phosphane, PubChem CID: 4790, CAS Number: 298-02-2",Chemical,,Pesticide,,,,,,,
,Hydrological,,Storage capacity,Maximum volume of water that the reservoir is able to store.,Reservoir management,Surface water,,,,,,,,
,Hydrological,,Live storage,"Active or live storage is the portion of the reservoir that can be used for flood control, power production, navigation, and downstream releases (http://en.wikipedia.org/wiki/reservoir, 2021).",Reservoir management,Surface water,,,,,,,,
,Hydrological,,Reservoir storage,Total volume of water in the reservoir (http://hydro.geodab.eu/hydro-ontology/concept/86),Reservoir management,Surface water,,,,,,,,
,Hydrological,,Area,Surface area of the water body. ,Reservoir management,Surface water,,,,,,,,
,Hydrological,,Stage,"The height of a water surface above an established datum plane; also gage height (https://water.usgs.gov/wsc/glossary.html, 2021).",Reservoir management,Surface water,,,,,,,,
,Hydrological,,inflow,The volume of water flowing into the reservoir per unit time.,Reservoir management,,,,,,,,,
,Hydrological,,outflow,The volume of water flowing out of the reservoir per unit time,Reservoir management,,,,,,,,,
,Hydrological,,Turbine discharge,The volume of water flowing through the hydro-power plant's turbines per unit time.,Reservoir management,,,,,,,,,
,Hydrological,,Spill,The volume of water flowing out of the reservoir through the spillways per unit time.,Reservoir management,,,,,,,,,
,Hydrological,,Transfered inflow,Volume of water transfered from other reservoirs into the reservoir per unit time.,Reservoir management,,,,,,,,,
,Hydrological,,Transfered outflow,Volume of water removed from the reservoir for use or transfer to other reservoir(s); also withdrawal.,Reservoir management,,,,,,,,,
,Hydrological,,Seepage rate,"The slow movement of water through small cracks, pores, Interstices, etc., of a material into or out of a body of surface or subsurface water (https://www.usgs.gov/special-topic/water-science-school/science/dictionary-water-terms, 2021).",Reservoir management,,,,,,,,,
,Hydrological,Aquifer,"Discharge, groundwaterflow",(http://hydro.geodab.eu/hydro-ontology/concept/77),Groundwater,,,,,,,,,
,Hydrological,Aquifer,Groundwater Depth,(http://hydro.geodab.eu/hydro-ontology/concept/5172),Groundwater,,,,,,,,,
,Hydrological,Aquifer,Groundwater Level,(http://hydro.geodab.eu/hydro-ontology/concept/19),Groundwater,,,,,,,,,
,Hydrological,Aquifer,Percolation rate,"The movement, under hydrostatic pressure, of water through the interstices of a rock or soil, except the movement through large openings such as caves (https://water.usgs.gov/wsc/glossary.html, 2021).",Reservoir management,Groundwater,,,,,,,,
,Hydrological,Aquifer,Recharge rate,"Water added to an aquifer. For instance, rainfall that seeps into the ground (https://www.usgs.gov/special-topic/water-science-school/science/dictionary-water-terms, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Hydrogeological unit yield,,Groundwater,,,,,,,,,
,Hydrological,Aquifer,Storage,"Either water artificially impounded in surface or underground reservoirs, for future use, or water naturally detained in a drainage basin, such as ground water, channel storage, and depression storage. The term ""drainage basin storage"" or simply ""basin storage"" is sometimes used to refer collectively to the amount of water in natural storage in a drainage basin (https://water.usgs.gov/wsc/glossary.html, 2021)",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Aquifer volume,The total volume of porous space of an aquifer.,Groundwater,,,,,,,,,
,Hydrological,Aquifer,Hydraulic conductivity (K),"The volume of fluid that flows through a unit area of porous medium for a unit hydraulic gradient normal to that area (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Hydraulic diffusity,"The ratio of hydraulic conductivity (K) to specific storage (Ss) or the ratio of transmissivity (T) to storativity (S) (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Transmissivity (T),"The discharge through a unit width of the entire saturated thickness of an aquifer for a unit hydraulic gradient normal to the unit width sometimes termed the coefficient of transmissibility [L^2 t^-1] (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Porosity (φ or n),"The volume of the voids divided by the total volume of porous medium [-] (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Effective porosity,"The interconnected porosity that contributes to groundwater flow (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Specific retention,"The ratio of the volume of water a porous material will retain against gravity drainage to the total volume of the porous material [-] (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Infiltration rate,"The rate of water entry into the soil [L^3/t/L^2].  The infiltration rate can change with time but cannot exceed the infiltration capacity. (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Infiltration capacity,"The maximum rate [L^3/t/L^2] at which a soil at a given condition can absorb rain as it falls. Infiltration is a function of the saturation and permeability of the soil. (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Drawdown,"The drop in head from the initial head caused by pumping from a well or set of wells (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Specific capacity (well),"The discharge of a well divided by the drawdown in the well.  Note that specific capacity can depend upon for the pumping rate.  See unit specific capacity (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,Specific yield,"The volume of water that a saturated porous medium can yield by gravity drainage per unit volume of the porous medium (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,Aquifer,"Storage coefficient (storativity, S)","The volume of water released per unit area of aquifer for a unit decline in head  [-]. In a confined aquifer, S is essentially the specific storage (Ss) times aquifer thickness; in an unconfined aquifer, S is essentially equal to the specific yield or the effective porosity (https://www.geo.utexas.edu/faculty/jmsharp/sharp-glossary.pdf, 2021).",Groundwater,,,,,,,,,
,Hydrological,,Acceleration due to gravity,Acceleration of the water volume caused by gravity [L/t²],Hydraulics,,,,,,,,,
,Hydrological,,Depth,The vertical distance from the bottom (or any given point in the water volume) to the surface of the water body [L].,Hydraulics,,,,,,,,,
,Hydrological,,Wave height,The wave height of a surface wave is the difference between the elevations of a crest and a neighbouring trough [L].,Hydraulics,,,,,,,,,
,Hydrological,,Velocity,"Velocity is the rate of change of the position with respect to a frame of reference, and is a function of time. It is a physical vector quantity; both magnitude and direction are needed to define it (https://en.wikipedia.org/wiki/Velocity, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Suspended sediment,"Sediment is defined as fragmental material that originates from weathering of rocks and is transported by, suspended in, or deposited by water or air or is accumulated in beds by other natural agencies.",Hydraulics,,,,,,,,,
,Hydrological,,Suspended sediment transport,"The rate at which dry weight of sediment passes a section of a stream or the quantity of sediment, as measured by dry weight, or by volume, that is discharged in a given time (https://water.usgs.gov/wsc/glossary.html, 2021)",Hydraulics,,,,,,,,,
,Hydrological,,Bed load transport,"The term bed load or bedload describes particles in a flowing fluid (usually water) that are transported along the stream bed. Bed load is complementary to suspended load and wash load. Bed load moves by rolling, sliding, and/or saltating (hopping) (https://en.wikipedia.org/wiki/Bed_load, 2021). Bed load transport is the rate at which bed load (in volume or weight units) passes a section of interest ",Hydraulics,,,,,,,,,
,Hydrological,,Cross-sectional area,The area of a given vertical cross section of the water volume,Hydraulics,,,,,,,,,
,Hydrological,,Flow area,"The cross-sectional areal normal to the direction of flow (M. Hanif Chaudhry, Open-Channel Flow, Second Edition, 2008).",,,,,,,,,,
,Hydrological,,Cross-sectional length,"The length of the water surface along a given cross section, from one river bank to the opposite",Hydraulics,Surface water,,,,,,,,
,Hydrological,,Chezy coefficient,"Chezy's coefficient of roughness and conduit is used in the Chézy formula that describes the the mean velocity of turbulent open channel flow. The formula is v = C (R i)^0.5, where v is average velocity [m/s], C is Chezy's coefficient [m1/2/s], R is the hydraulic radius [m], and i is the hydraulic gradient (https://en.wikipedia.org/wiki/Chézy_formula, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Conveyance,Conveyance or hydraulic conveyance means a geometric characteristic of a river or watercourse at a given location that determines the flow-carrying capacity at that location [l^3_s-1],Hydraulics,,,,,,,,,
,Hydrological,,Dynamic Viscosity,"Dynamic viscosity is the force needed by a fluid to overcome its own internal molecular friction so that the fluid will flow. In other words, dynamic viscosity is defined as the tangential force per unit area needed to move the fluid in one horizontal plane with respect to other plane with a unit velocity while the fluid's molecules maintain a unit distance apart. Also referred as absolute viscosity in the field of fluid mechanics (https://www.corrosionpedia.com/definition/5323/dynamic-viscosity) [f.t/l²]",Hydraulics,,,,,,,,,
,Hydrological,,Froude number,"In continuum mechanics, the Froude number (Fr) is a dimensionless number defined as the ratio of the flow inertia to the external field (the latter in many applications simply due to gravity). It is based on the speed–length ratio which is defined as: F r = u (g L)^-0.5 where u is the local flow velocity, g is the local external field, and L is a characteristic length (https://en.wikipedia.org/wiki/Froude_number, 2021)",Hydraulics,,,,,,,,,
,Hydrological,,"Head, hydraulic","Hydraulic head represents the mechanical energy per unit weight of the fluid in the system. Hydraulic head is defined as h = hp + hz, where h is the hydraulic head, hp is the pressure head, and hz is the elevation head. All three quantities have the dimension [L]. The pressure head represents the energy due to pore fluid pressure, and the elevation head represents the gravitational energy arising from elevation. Water flows from high to low hydraulic heads (S. Ge, in Encyclopedia of Atmospheric Sciences, 2003).",Hydraulics,,,,,,,,,
,Hydrological,,"Head, elevation","Hydraulic head represents the mechanical energy per unit weight of the fluid in the system. Hydraulic head is defined as h = hp + hz, where h is the hydraulic head, hp is the pressure head, and hz is the elevation head. All three quantities have the dimension [L]. The pressure head represents the energy due to pore fluid pressure, and the elevation head represents the gravitational energy arising from elevation. Water flows from high to low hydraulic heads (S. Ge, in Encyclopedia of Atmospheric Sciences, 2003).",Hydraulics,,,,,,,,,
,Hydrological,,"Head, pressure","Hydraulic head represents the mechanical energy per unit weight of the fluid in the system. Hydraulic head is defined as h = hp + hz, where h is the hydraulic head, hp is the pressure head, and hz is the elevation head. All three quantities have the dimension [L]. The pressure head represents the energy due to pore fluid pressure, and the elevation head represents the gravitational energy arising from elevation. Water flows from high to low hydraulic heads (S. Ge, in Encyclopedia of Atmospheric Sciences, 2003).",Hydraulics,,,,,,,,,
,Hydrological,,"Head, velocity","Velocity head is the component of total head that is due to the bulk motion of a fluid (kinetic energy). Its pressure head correspondent is the dynamic pressure (https://en.wikipedia.org/wiki/Hydraulic_head, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Hydraulic radius,"Hydraulic radius is the cross-sectional area of flow divided by the wetted perimeter (for a wide channel this is approximately equal to the water depth) (https://en.wikipedia.org/wiki/Chézy_formula, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Kinematic viscosity (ν),"Defined as the ratio of the viscosity μ to the density of the fluid ρ [L^2/t] (https://en.wikipedia.org/wiki/Viscosity, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Length,Longitudinal length of a water body from its source to its mouth or between two cross sections,Hydraulics,,,,,,,,,
,Hydrological,,Manning's coefficient,"Also known as the Gauckler-Manning coefficient, it is used in the Gauckler-Manning formula for estimating the average velocity of an open channel flow. The Gauckler-Manning formula states: V = k n⁻¹ R_h^(2/3) S^(1/2), where: V is the cross-sectional average velocity (L/T; ft/s, m/s); n is the Gauckler–Manning coefficient. Units of n are often omitted, however n is not dimensionless, having units of: (T/[L1/3]; s/[ft1/3]; s/[m1/3]). Rh is the hydraulic radius (L; ft, m);    S is the slope of the hydraulic grade line or the linear hydraulic head loss (L/L), which is the same as the channel bed slope when the water depth is constant. (S = hf/L). k is a conversion factor between SI and English units (https://en.wikipedia.org/wiki/Manning_formula, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Mass,Mass is both a property of a physical body and a measure of its resistance to acceleration (rate of change of velocity with respect to time) when a net force is applied (https://en.wikipedia.org/wiki/Mass).,Hydraulics,,,,,,,,,
,Hydrological,,Reynolds number (Re),"The Reynolds number helps predict flow patterns in different fluid flow situations. At low Reynolds numbers, flows tend to be dominated by laminar (sheet-like) flow, while at high Reynolds numbers flows tend to be turbulent (https://en.wikipedia.org/wiki/Reynolds_number, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Shear stress (τ),"Shear stress is the component of stress coplanar with a material cross section (https://en.wikipedia.org/wiki/Shear_stress, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Hydraulic slope,"In fluid flow, friction loss (or skin friction) is the loss of pressure or “head” that occurs in pipe or duct flow due to the effect of the fluid's viscosity near the surface of the pipe or duct. When the pressure is expressed in terms of the equivalent height of a column of that fluid, as is common with water, the friction loss is expressed as S, the ""head loss"" per length of pipe, a dimensionless quantity also known as the hydraulic slope (https://en.wikipedia.org/wiki/Friction_loss, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Surface tension,"Surface tension is the tendency of liquid surfaces to shrink into the minimum surface area possible. At liquid-air interfaces, surface tension results from the greater attraction of liquid molecules to each other (due to cohesion) than to the molecules in the air (due to adhesion). There are two primary mechanisms in play. One is an inward force on the surface molecules causing the liquid to contract. Second is a tangential force parallel to the surface of the liquid. This tangential force (per unit length) is generally referred to as the surface tension (https://en.wikipedia.org/wiki/Surface_tension, 2021).",Hydraulics,,,,,,,,,
,Hydrological,,Weber number,"The Weber number (We) is a dimensionless number in fluid mechanics that is often useful in analysing fluid flows where there is an interface between two different fluids, especially for multiphase flows with strongly curved surfaces. It can be thought of as a measure of the relative importance of the fluid's inertia compared to its surface tension (https://en.wikipedia.org/wiki/Weber_number, 2021)",Hydraulics,,,,,,,,,
,Hydrological,,Wetted perimeter,"The wetted perimeter is the perimeter of the cross sectional area that is ""wet"". The length of line of the intersection of channel wetted surface with a cross sectional plane normal to the flow direction (https://en.wikipedia.org/wiki/Wetted_perimeter).",Hydraulics,,,,,,,,,
,Hydrological,,Drainage area,"The area that receives precipitation and, after hydrological processes resulting in losses and delays, leads it to an outflow point (WMO, Guide to Hydrological Practices, 2008).",Watershed hydrology,,,,,,,,,
,Hydrological,,Effective drainage area,"When basins have a very low slope, for example there may be closed sub-basins having no outlet to the main stream or significant portions of the basin that contribute to streamflow very infrequently. Under these circumstances the concept of an effective drainage area may be used. This is customarily defined as the area that would contribute to streamflow in a median year (WMO, Guide to Hydrological Practices, 2008).",Watershed hydrology,,,,,,,,,
,Hydrological,,Runoff,"Quantity of water (including groundwater) discharged in surface streams (www.britannica.com, 2021). Frequently expressed as a the width of a layer covering the drainage area, in linear units per unit time.",Watershed hydrology,,,,,,,,,
,Hydrological,,Recession coefficient,"In the recession limb of a hydrograph, the recession coefficient represents the ratio of the discharge after a unit time step of some specific initial discharge to the specific initial discharge, provided both the discharges are along the same straight segment (Goel M.K. in Encyclopedia of Earth Sciences Series. Springer, 2011) ",Watershed hydrology,,,,,,,,,
,Hydrological,,Unit area discharge,Results from dividing the discharge by the drainage area. ,Watershed hydrology,,,,,,,,,
,Hydrological,,Basin slope,An indicator of the basin's mean topographical slope.,Watershed hydrology,,,,,,,,,
,Hydrological,,Soil moisture deficit,"The difference between the amount of water actually in the soil and the amount of water that the soil can hold (https://glossary.ametsoc.org/wiki/Soil_moisture_deficit, 2021).",Watershed hydrology,,,,,,,,,
,Hydrological,,Degree day,"A measure of the departure of the mean daily temperature from a given standard: one degree-day for each degree (°C or °F) of departure above or below the standard during one day (https://glossary.ametsoc.org/wiki/Degree-day, 2021).",Watershed hydrology,,,,,,,,,
,Hydrological,,Albedo,"The ratio of reflected flux density to incident flux density, referenced to some surface  (https://glossary.ametsoc.org/wiki/Albedo, 2021).",Watershed hydrology,,,,,,,,,
,Hydrological,,Radiation area,Any area with radiation levels greater than 5 millirems (0.05 millisievert) in one hour at 30 centimeters from the source or from any surface through which the radiation penetrates (https://www.nrc.gov/reading-rm/basic-ref/glossary/radiation-area.html).,,,,,,,,,,
,Hydrological,Liquid phase,phytoplankton species richness,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,Pheophytin,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,Phytoplankton Shannon's diversity index,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,phytoplankton equitability,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,phytoplankton  density,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,cyanobacteria,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,"cyanobacteria, potentially toxic",,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,"cyanobacteria, as percentage in phytoplankton",,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,"euglenophytes, as percentage in phytoplankton",,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,"dinoflagellates, as percentage in phytoplankton",,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,"chlorophyta, as percentage in phytoplankton",,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,diatoms as percentage in phytoplankton,,Water quality,Life form,,,,,,,,
,Hydrological,Liquid phase,enterococcus,,Water quality,Life form,,,,,,,,
